"CAREF","CANO","CACOMP","CACURREF","CANAME","CAADD","CACUST","CAVATNUM","CANOVAT","CASALEREP","CASUPP","CAVATREQ","CALNGREF","CACNTRREF","CATRANS","CACUSTTYPE","CADUNS","CATAXID","CABSCC","CACREDCSTAT","CAINTSTAT","CAMPRTNAME","CAMPRTNACE","CAMEMPNUM","CAMPRTTURN","CACUSTSTAT","CAACTION"
"1173220","1173220","NLAAT","EUR","MPS G & S BOUW B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","407656792","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1173232","1173232","NLAAT","EUR","J.N. VAN DER BURG HOLDING B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","489440522","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1173603","1173603","NLAAT","EUR","CANON NEDERLAND NV","-","1","NL003167847B01","0","0","0","0","en","NL","0","CustomerType.Party","408517233","0","920","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1179413","1179413","NLAAT","EUR","MPS AMERICAN CLOTHING ASS BVBA","-","1","BE0456606219","0","0","0","0","en","BE","0","CustomerType.Party","374451201","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1191419","1191419","NLAAT","EUR","VITEA MEMORIAM","-","1","","0","0","0","0","en","BE","0","CustomerType.Party","762507890","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1193363","1193363","NLAAT","EUR","S AIR INTERNATIONAL NV","-","1","BE0431208154","0","0","0","0","en","BE","0","CustomerType.Party","372347872","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1195488","1195488","NLAAT","EUR","CANON BUSINESS CENTER ZWOLLE","-","1","NL812819482B01","0","0","0","0","en","NL","0","CustomerType.Party","410509694","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1197774","1197774","NLAAT","EUR","BALLAST NEDAM","-","1","BE0477733413","0","0","0","0","en","BE","0","CustomerType.Party","372490024","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1197802","1197802","NLAAT","EUR","TRIUMPH INTERNATIONAL NV","-","1","BE0400753124","0","0","0","0","en","BE","0","CustomerType.Party","282776004","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1199223","1199223","NLAAT","EUR","BALLAST NEDAM ICT BV (C&I)","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","406749846","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1234525","1234525","NLAAT","EUR","HUISARTSENPRAKTIJK ELSENDORP B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","490124741","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1234529","1234529","NLAAT","EUR","BESTENZET PRINTING B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","489620780","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1234533","1234533","NLAAT","EUR","JUMBO STEENWIJK","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","387342132","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1234576","1234576","NLAAT","EUR","PEWAG NEDERLAND B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","415202097","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1234581","1234581","NLAAT","EUR","KETCHUM PLEON B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","407991199","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1238835","1238835","NLAAT","EUR","N/A","-","1","ESF35009950","0","0","0","0","en","ES","0","CustomerType.Party","468695796","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1279684","1279684","NLAAT","EUR","COOPERATIEF ZORGACADEMIE PARKSTAD U.A.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","489887178","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1279732","1279732","NLAAT","EUR","PLUS KLEIJNEN","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","404347031","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1279810","1279810","NLAAT","EUR","TESA WESTERN EUROPE B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","490415066","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1279866","1279866","NLAAT","EUR","BRUNA POSTKANTOOR VAN VLIET","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","406827431","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1279876","1279876","NLAAT","EUR","GINDORA B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","490430916","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1279978","1279978","NLAAT","EUR","VESTING FINANCE SERVICING B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","413327193","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1280183","1280183","NLAAT","EUR","DEME BUILDING MATERIALS B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","406846498","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1280219","1280219","NLAAT","EUR","MPS VAN WIJNEN DEVENTER B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","406316711","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1280335","1280335","NLAAT","EUR","HYPO GROEP B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","409219284","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1280512","1280512","NLAAT","EUR","PEUGEOT NEDERLAND N.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","407567569","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1280761","1280761","NLAAT","EUR","GLEN DIMPLEX BENELUX B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","406552083","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1280776","1280776","NLAAT","EUR","DOCSPRO B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","403941185","0","201","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1280796","1280796","NLAAT","EUR","COMBINATIE H2ECO","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","489414139","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1280905","1280905","NLAAT","EUR","CELSIAN GLASS & SOLAR B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","490401469","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1280929","1280929","NLAAT","EUR","BOUWCOMBINATIE LEEUWARDEN CENTRUM","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","489337503","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1280958","1280958","NLAAT","EUR","BOUWCOMBINATIE KOOPMANS - WAM & VAN DUREN V.O.F.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","489447040","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1280970","1280970","NLAAT","EUR","SPAR DE LANGE","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","387039972","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1281013","1281013","NLAAT","EUR","SWART & DE SCHEPPER ADVOCATEN","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","489682515","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1281015","1281015","NLAAT","EUR","HP PTNR AEROCAR B.V.","-","1","NL005063346B01","0","0","0","0","en","NL","0","CustomerType.Party","409471059","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1281097","1281097","NLAAT","EUR","MPS BAM INFRA PROJECTMANAGEMENT B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","490384346","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1281111","1281111","NLAAT","EUR","RISCURE B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","414467147","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1281215","1281215","NLAAT","EUR","COMBINATIE TIGER","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","490507269","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1281240","1281240","NLAAT","EUR","JUMBO GOMMANS","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","386594337","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1281269","1281269","NLAAT","EUR","BONDUELLE NEDERLAND B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","404543035","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1281311","1281311","NLAAT","EUR","MONTESQUIEU FINANCE B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","489043716","0","200","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1281721","1281721","NLAAT","EUR","BOUWCOMBINATIE OVERWEER VOF","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","489856959","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1283733","1283733","NLAAT","EUR","C.1000 TANTHOF","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","405547709","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1283922","1283922","NLAAT","EUR","MPS CENTRIC NETHERLANDS B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","402246953","0","200","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1283945","1283945","NLAAT","EUR","INDAVER NEDERLAND B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","415330799","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1283948","1283948","NLAAT","EUR","DELTA MILIEU VERWERKING B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","405087490","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1283950","1283950","NLAAT","EUR","VAN WIJNEN DEN HAAG B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","418590717","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1283961","1283961","NLAAT","EUR","DERDE MERWEDEHAVEN B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","415801372","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1283962","1283962","NLAAT","EUR","STORTPLAATS NOORD EN MIDDEN ZEELAND B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","403855856","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1283963","1283963","NLAAT","EUR","DELTA IMPEX B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","409249976","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1283966","1283966","NLAAT","EUR","ZEEUWSE REINIGINGSDIENST B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","408199334","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1283968","1283968","NLAAT","EUR","INDAVER GEVAARLIJK AFVAL B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","411793060","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1283979","1283979","NLAAT","EUR","DELTA MILIEU RECYCLING B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","405071689","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1283987","1283987","NLAAT","EUR","INDAVER ARP B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","404606449","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1284052","1284052","NLAAT","EUR","DELTA MILIEU GROENCOMPOST B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","413350869","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1284053","1284053","NLAAT","EUR","DELTA MILIEU COMPOSTEREN B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","402992007","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
